tsize,tcount,CHPCount,ppv,pw,pc,ebat,pbat1,pmgi,mintimeup,mintimedown,cbatinitial,socinitial,socmin,socmax,clearingprice,costa,costb,costc,
,,,0.9031034,0.9167779,8.256347,,,,,,,,,,36.49,,,,
,,,0.9031034,0.916619,8.256346,,,,,,,,,,36.49,,,,
,,,0.9031034,0.9167916,8.304751,,,,,,,,,,36.49,,,,
,,,0.9036886,0.9153747,8.283989,,,,,,,,,,36.49,,,,
,,,0.9036886,0.9153904,8.28399,,,,,,,,,,36.49,,,,
,,,0.9036886,0.9278535,8.283989,,,,,,,,,,36.49,,,,
,,,0.9799408,0.9203375,8.28399,,,,,,,,,,36.49,,,,
,,,0.9799408,0.9203349,8.283991,,,,,,,,,,36.49,,,,
,,,0.9874854,0.9347933,8.235585,,,,,,,,,,36.49,,,,
,,,0.9876802,0.9389005,8.188578,,,,,,,,,,36.49,,,,
,,,0.9876802,0.9362927,8.257279,,,,,,,,,,36.49,,,,
,,,0.9876802,0.9403129,8.257279,,,,,,,,,,36.49,,,,
,,,0.9876802,0.9462475,8.158604,,,,,,,,,,36.49,,,,
,,,0.9876802,0.9279742,8.156143,,,,,,,,,,36.49,,,,
,,,0.9876802,0.9279909,8.156142,,,,,,,,,,36.49,,,,
,,,0.9876802,0.9414372,8.149843,,,,,,,,,,36.49,,,,
,,,0.9876802,0.9446828,8.198246,,,,,,,,,,36.49,,,,
,,,0.999197,0.9446861,8.122897,,,,,,,,,,36.49,,,,
,,,0.999197,0.9447016,8.219707,,,,,,,,,,36.49,,,,
,,,0.9988067,0.9447121,8.171303,,,,,,,,,,36.49,,,,
,,,1.010258,0.9428663,8.219707,,,,,,,,,,36.49,,,,
,,,0.9909931,0.942883,8.222271,,,,,,,,,,36.49,,,,
,,,0.9909931,0.9619501,7.881605,,,,,,,,,,36.49,,,,
,,,0.9912117,0.9677556,7.881605,,,,,,,,,,36.49,,,,
,,,1.002837,0.9669718,7.819895,,,,,,,,,,36.49,,,,
,,,1.003098,0.9682702,7.819895,,,,,,,,,,36.49,,,,
,,,1.003038,0.9682782,7.819895,,,,,,,,,,36.49,,,,
,,,1.003038,0.9683016,7.819894,,,,,,,,,,36.49,,,,
,,,1.003038,0.9876407,7.8683,,,,,,,,,,44.04,,,,
,,,1.003038,0.9739555,7.8683,,,,,,,,,,44.04,,,,
,,,1.003038,0.9775837,7.819896,,,,,,,,,,44.04,,,,
,,,1.003103,0.9936085,7.774057,,,,,,,,,,44.04,,,,
,,,1.003103,0.9973159,7.772108,,,,,,,,,,44.04,,,,
,,,1.003103,0.9973325,7.772107,,,,,,,,,,44.04,,,,
,,,1.003233,0.9952868,7.431444,,,,,,,,,,44.04,,,,
,,,0.9803308,0.9953365,7.431445,,,,,,,,,,44.04,,,,
,,,0.9802434,1.01385,7.431445,,,,,,,,,,44.04,,,,
,,,1.004764,1.013863,7.431445,,,,,,,,,,44.04,,,,
,,,1.004764,1.008999,7.431445,,,,,,,,,,44.04,,,,
,,,0.9933125,1.014948,3.820411,,,,,,,,,,44.04,,,,
,,,0.9933775,1.02859,3.772007,,,,,,,,,,44.04,,,,
,,,0.9933775,1.007515,3.773641,,,,,,,,,,44.04,,,,
,,,0.9933775,1.033703,3.773642,,,,,,,,,,44.04,,,,
,,,0.993386,1.024062,3.773642,,,,,,,,,,44.04,,,,
,,,0.9923275,1.037011,3.866719,,,,,,,,,,44.04,,,,
,,,0.9923275,1.037081,3.866719,,,,,,,,,,44.04,,,,
,,,0.9923275,1.026581,3.818314,,,,,,,,,,44.04,,,,
,,,0.9991425,1.044921,3.818314,,,,,,,,,,44.04,,,,
,,,1.067916,1.044866,3.818314,,,,,,,,,,44.04,,,,
,,,1.067992,1.043479,3.818314,,,,,,,,,,44.04,,,,
,,,1.067992,1.039953,3.818314,,,,,,,,,,44.04,,,,
,,,1.067992,1.116324,3.818314,,,,,,,,,,44.04,,,,
,,,1.079378,1.115173,3.818314,,,,,,,,,,44.04,,,,
,,,1.079378,1.115154,3.769909,,,,,,,,,,44.04,,,,
,,,1.081609,1.115039,3.748447,,,,,,,,,,44.04,,,,
,,,1.081533,1.09328,3.658549,,,,,,,,,,44.04,,,,
,,,1.100535,1.224298,3.658549,,,,,,,,,,44.04,,,,
,,,1.100391,1.096697,3.610145,,,,,,,,,,44.04,,,,
,,,1.100391,1.102268,3.610145,,,,,,,,,,44.04,,,,
,,,1.100589,1.102277,3.610145,,,,,,,,,,44.04,,,,
,,,1.100589,1.100954,3.610145,,,,,,,,,,44.04,,,,
,,,1.105857,1.127402,3.685496,,,,,,,,,,44.04,,,,
,,,1.05399,1.127442,3.63709,,,,,,,,,,44.04,,,,
,,,1.053959,1.145011,3.63709,,,,,,,,,,44.04,,,,
,,,1.053959,1.159844,3.63709,,,,,,,,,,44.04,,,,
,,,1.053986,1.139595,3.645254,,,,,,,,,,44.04,,,,
,,,1.053921,1.139334,3.623792,,,,,,,,,,44.04,,,,
,,,1.053098,1.14523,3.623792,,,,,,,,,,44.04,,,,
,,,1.054011,1.163548,3.630558,,,,,,,,,,44.04,,,,
,,,1.053189,1.163548,3.618703,,,,,,,,,,44.04,,,,
,,,1.053189,1.170023,3.640164,,,,,,,,,,44.04,,,,
,,,1.058984,1.17105,3.59176,,,,,,,,,,44.04,,,,
,,,1.116972,1.176514,3.59176,,,,,,,,,,44.04,,,,
,,,1.116972,1.176738,3.548838,,,,,,,,,,44.04,,,,
,,,1.117329,1.189776,3.54884,,,,,,,,,,44.04,,,,
,,,1.117223,1.195356,3.54884,,,,,,,,,,44.04,,,,
,,,1.117223,1.199278,3.45203,,,,,,,,,,44.04,,,,
,,,1.117209,1.229638,3.452029,,,,,,,,,,44.04,,,,
,,,1.117209,1.229656,3.431968,,,,,,,,,,44.04,,,,
,,,1.116808,1.235891,3.431968,,,,,,,,,,44.04,,,,
,,,1.116827,1.236249,3.370075,,,,,,,,,,44.04,,,,
,,,1.116827,1.252032,3.436442,,,,,,,,,,44.04,,,,
,,,1.140834,1.252321,3.436442,,,,,,,,,,44.04,,,,
,,,1.140834,1.284332,3.388035,,,,,,,,,,44.04,,,,
,,,1.14103,1.284296,3.533248,,,,,,,,,,44.04,,,,
,,,1.058656,1.283813,3.537331,,,,,,,,,,44.04,,,,
,,,1.058634,1.28139,3.537331,,,,,,,,,,44.04,,,,
,,,1.058578,1.317863,3.537331,,,,,,,,,,44.04,,,,
,,,1.060497,1.299182,3.515871,,,,,,,,,,58.02,,,,
,,,1.083399,1.335723,3.503996,,,,,,,,,,58.02,,,,
,,,1.104571,1.337028,3.491864,,,,,,,,,,58.02,,,,
,,,1.104587,1.337354,3.477871,,,,,,,,,,58.02,,,,
,,,1.104629,1.33747,3.429467,,,,,,,,,,58.02,,,,
,,,1.104582,1.353479,3.397974,,,,,,,,,,58.02,,,,
,,,1.104517,1.390008,3.396693,,,,,,,,,,58.02,,,,
,,,1.104641,1.390117,3.401476,,,,,,,,,,58.02,,,,
,,,1.127283,1.387902,3.401476,,,,,,,,,,58.02,,,,
,,,1.127105,1.396925,3.353072,,,,,,,,,,58.02,,,,
,,,1.127235,1.404167,3.368235,,,,,,,,,,58.02,,,,
,,,1.129876,1.441614,3.31983,,,,,,,,,,58.02,,,,
,,,1.131964,1.431981,3.319834,,,,,,,,,,58.02,,,,
,,,1.131764,1.449911,3.368238,,,,,,,,,,58.02,,,,
